"Story","Title","Result","Date","Stability","Duration (s)"
"Get User","As admin I want to Get User By Id","SUCCESS","2022-07-21T23:17:27.514659-08:00[GMT-08:00]","0.0","31.51"
"Get User","As admin I want to Get User By Id without login","SUCCESS","2022-07-21T23:17:59.1696606-08:00[GMT-08:00]","0.0","0.98"
"Invoice","As Admin I want to upload file csv for Invoice","SUCCESS","2022-07-21T23:18:01.2436556-08:00[GMT-08:00]","0.0","3.0"
"Invoice","As admin I want to Get All Invoice","SUCCESS","2022-07-21T23:18:04.3336594-08:00[GMT-08:00]","0.0","2.51"
"Invoice","As admin I want to Get Invoice by Id","SUCCESS","2022-07-21T23:18:06.966659-08:00[GMT-08:00]","0.0","1.69"
"Invoice","As Admin I want to get All Invoice without login","SUCCESS","2022-07-21T23:18:08.7516548-08:00[GMT-08:00]","0.0","0.63"
"Invoice","As Admin I want to get Invoice By Id without login","SUCCESS","2022-07-21T23:18:09.4816627-08:00[GMT-08:00]","0.0","0.88"
"Invoice","As Admin I want to Upload CSV with different extensions","SUCCESS","2022-07-21T23:18:13.5956586-08:00[GMT-08:00]","0.0","2.15"
"Login","POST - As admin I want to login with valid idpegawai and password","SUCCESS","2022-07-21T23:18:15.7996553-08:00[GMT-08:00]","0.0","2.6"
"Login","As admin I want to login with valid idpegawai and invalid password","SUCCESS","2022-07-21T23:18:18.4456574-08:00[GMT-08:00]","0.0","1.88"
"Login","As As admin I want to login with invalid idpegawai and valid password","SUCCESS","2022-07-21T23:18:20.3576605-08:00[GMT-08:00]","0.0","1.82"
"Login","As admin I want to login with null idpegawai and password","SUCCESS","2022-07-21T23:18:22.2396594-08:00[GMT-08:00]","0.0","1.05"
"Register","As Admin I have be able to create new user with valid data","SUCCESS","2022-07-21T23:18:24.8806585-08:00[GMT-08:00]","0.0","1.19"
"Send Email Customer","As admin I want to send Email to Customer","SUCCESS","2022-07-21T23:18:28.6496576-08:00[GMT-08:00]","0.0","1.96"
